dataset,model,sensitive,compression,seed,n_test,demographic_parity_difference,accuracy,positive_prediction_rate,mean_ece_per_group,ece_disparity,entropy_disparity,mi_disparity,config_hash,python,versions
folktables,logreg,sex,none,0,8000,0.019406,0.786,0.396,0.02071,0.007287,0.021723,0.000151,02a228ffb291,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0"", ""folktables"": ""0.0.12""}"
folktables,logreg,sex,prune:0.3,0,8000,0.028688,0.78775,0.38925,0.029776,0.015486,0.01659,0.000169,431dacfddb5e,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0"", ""folktables"": ""0.0.12""}"
folktables,logreg,sex,prune:0.5,0,8000,0.040408,0.785125,0.380875,0.033151,0.013959,0.013259,0.000161,60b1933db56e,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0"", ""folktables"": ""0.0.12""}"
folktables,logreg,sex,prune:0.7,0,8000,0.063516,0.753125,0.358125,0.05381,0.007674,0.01486,0.000161,abe007446da8,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0"", ""folktables"": ""0.0.12""}"
folktables,logreg,sex,prune:0.9,0,8000,0.0,0.5935,0.0,0.052501,0.098598,0.0,0.0,b9bde00d7fc4,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0"", ""folktables"": ""0.0.12""}"
folktables,logreg,race,none,0,8000,0.433333,0.786,0.396,0.101463,0.411878,0.28839,0.00119,77575c6ef982,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0"", ""folktables"": ""0.0.12""}"
folktables,logreg,race,prune:0.3,0,8000,0.505669,0.78775,0.38925,0.135877,0.412098,0.244643,0.001034,9cc7ac167606,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0"", ""folktables"": ""0.0.12""}"
folktables,logreg,race,prune:0.5,0,8000,0.492063,0.785125,0.380875,0.111726,0.408065,0.220473,0.001158,22a26d30161b,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0"", ""folktables"": ""0.0.12""}"
folktables,logreg,race,prune:0.7,0,8000,0.502646,0.753125,0.358125,0.109048,0.29757,0.089286,0.000723,d7381833b1bd,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0"", ""folktables"": ""0.0.12""}"
folktables,logreg,race,prune:0.9,0,8000,0.0,0.5935,0.0,0.097335,0.186452,0.0,0.0,329f216036a8,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0"", ""folktables"": ""0.0.12""}"
folktables,logreg,sex,none,1,8000,0.043011,0.779375,0.398,0.026903,0.005991,0.019508,0.000272,5fe5e62eebad,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0"", ""folktables"": ""0.0.12""}"
