dataset,model,batch,seed,n_features,audit_peak_ram_bytes,audit_wall_s,profile_s,fairness_s,uncertainty_s,xai_s
adult,logreg,64,0,101,625245,0.0372139000101015,0.0012453000235836953,0.0008800000068731606,0.004893199977232143,0.030195400002412498
adult,logreg,64,1,101,624997,0.02965750001021661,0.0007695000094827265,0.0008166999905370176,0.004677999997511506,0.02339330001268536
adult,logreg,64,2,101,624773,0.02934180005104281,0.0007736000115983188,0.0007685000018682331,0.004446800012374297,0.02335290002520196
adult,logreg,256,0,101,657271,0.05740200000582263,0.0018789000168908387,0.002660199999809265,0.006378199992468581,0.046484699996653944
adult,logreg,256,1,101,656484,0.05891629995312542,0.0015464999887626618,0.0014282999909482896,0.009013899980345741,0.046927599993068725
adult,logreg,256,2,101,656385,0.07808809998095967,0.0011921999976038933,0.0012097999860998243,0.006122699996922165,0.06956340000033379
adult,logreg,1024,0,101,2536517,0.09646180001436733,0.0012618000037036836,0.0014528000028803945,0.009060999989742413,0.08468620001804084
adult,logreg,1024,1,101,2536250,0.11787879996700212,0.0021006999886594713,0.0017641999875195324,0.00921989997732453,0.10479400001349859
adult,logreg,1024,2,101,2536580,0.12582279997877777,0.001973700011149049,0.0015446000033989549,0.012007099983748049,0.11029739998048171
adult,logreg,4096,0,101,10056771,1.0748296000238042,0.002384400024311617,0.002948900015326217,0.018973899976117536,1.0505224000080489
adult,logreg,4096,1,101,10057693,1.1185627000231761,0.002277100022183731,0.002832700003637001,0.01895699999295175,1.0944959000044037
adult,logreg,4096,2,101,10070515,1.1037122000125237,0.0018280000076629221,0.003150200005620718,0.017802299989853054,1.080931700009387
adult,mlp,64,0,101,895891,0.06347779999487102,0.001128100004279986,0.0010486999817658216,0.034302899992326275,0.026998100016498938
adult,mlp,64,1,101,899293,0.06608999997843057,0.0011417999921832234,0.001147899980423972,0.03936220001196489,0.024438099993858486
adult,mlp,64,2,101,898489,0.05841939998208545,0.0009212999721057713,0.000832799996715039,0.02786180001567118,0.028803499997593462
adult,mlp,256,0,101,964989,0.11473299999488518,0.0009594000002834946,0.0009411000064574182,0.03823919998831116,0.07459329999983311
adult,mlp,256,1,101,969592,0.06502399998134933,0.0009367000020574778,0.0008886999858077615,0.02821260000928305,0.034985999984201044
adult,mlp,256,2,101,972017,0.07347780000418425,0.0009830000053625554,0.0010821000032592565,0.028377700014971197,0.04303499998059124
adult,mlp,1024,0,101,2539714,0.19983229995705187,0.0035386999952606857,0.0018912999948952347,0.03977459997986443,0.15462769998703152
adult,mlp,1024,1,101,2539156,0.1853902000002563,0.0026151000056415796,0.0019268000032752752,0.03787410000222735,0.1429741999891121
adult,mlp,1024,2,101,2539656,0.18552170001203194,0.0024787000147625804,0.0027658999897539616,0.037099999986821786,0.14317710002069362
adult,mlp,4096,0,101,10060168,1.3488308999803849,0.004789500002516434,0.009499699983280152,0.0534087999840267,1.2811329000105616
adult,mlp,4096,1,101,10059476,1.2406934999744408,0.005319699994288385,0.004880299995420501,0.054366900003515184,1.1761265999812167
adult,mlp,4096,2,101,10058657,1.2448034999833908,0.00407439999980852,0.004170400003204122,0.05827109998790547,1.1782875999924727
compas,logreg,64,0,5,623629,0.00945109996246174,0.0008860999951139092,0.0011406999838072807,0.005686099990271032,0.001738199993269518
compas,logreg,64,1,5,623629,0.010946900001727045,0.000773799984017387,0.0009554999996908009,0.005774100020062178,0.0034434999979566783
compas,logreg,64,2,5,623629,0.010355700011132285,0.0009697999921627343,0.0011257000151090324,0.005947300000116229,0.0023129000037442893
compas,logreg,256,0,5,623629,0.01183510004193522,0.0007536000048276037,0.00138980001793243,0.007303299993509427,0.00238840002566576
compas,logreg,256,1,5,623629,0.011230199976125732,0.0010083999950438738,0.0012892000086139888,0.006940099992789328,0.0019924999796785414
compas,logreg,256,2,5,623629,0.012565799988806248,0.0010352999961469322,0.001415700011420995,0.008272199978819117,0.0018426000024192035
compas,logreg,1024,0,5,623629,0.014718700025696307,0.0009110000100918114,0.00181940000038594,0.009666800004197285,0.0023215000110212713
compas,logreg,1024,1,5,623629,0.013958899973658845,0.0006557000160682946,0.0016568999853916466,0.009321199991973117,0.0023250999802257866
compas,logreg,1024,2,5,623629,0.0182961999962572,0.000892100011697039,0.0022806999913882464,0.01270329998806119,0.0024201000051107258
compas,logreg,1543,0,5,701185,0.01918209998984821,0.0008318000182043761,0.0020437999919522554,0.013090099993860349,0.003216399985831231
compas,logreg,1543,1,5,701131,0.019545799994375557,0.000978299998678267,0.0027560000016819686,0.012174500006949529,0.003636999987065792
compas,logreg,1543,2,5,701040,0.019344800006365404,0.0009033999813254923,0.002571200020611286,0.01337450000573881,0.0024956999986898154
compas,mlp,64,0,5,623903,0.031484899984207004,0.0008353999874088913,0.0011503999994602054,0.02703460000338964,0.002464499993948266
compas,mlp,64,1,5,623965,0.027094599994597957,0.0008406999986618757,0.0009637999755796045,0.023423300008289516,0.0018668000120669603
compas,mlp,64,2,5,623965,0.045288699970114976,0.0009501999884378165,0.001119799999287352,0.039503399981185794,0.003715300001204014
compas,mlp,256,0,5,623908,0.03182390003348701,0.0008031000033952296,0.0013458000030368567,0.02747170001384802,0.002203300013206899
compas,mlp,256,1,5,623965,0.030205999995814636,0.0010610000172164291,0.0011831999872811139,0.025733200018294156,0.0022285999730229378
compas,mlp,256,2,5,623903,0.04598289998830296,0.004840100009460002,0.001874400011729449,0.03528869998990558,0.003979699977207929
compas,mlp,1024,0,5,925452,0.04677700001047924,0.002441900025587529,0.0029881999944336712,0.036242199974367395,0.005104700016090646
compas,mlp,1024,1,5,896581,0.04742759998771362,0.0018328000151086599,0.0030863000138197094,0.03685479998239316,0.00565369997639209
compas,mlp,1024,2,5,894490,0.0438123999920208,0.0018909999926108867,0.00234829998225905,0.03454360002069734,0.005029499996453524
compas,mlp,1543,0,5,1229302,0.04922160002752207,0.001993799989577383,0.0028904000064358115,0.03871250001247972,0.005624900019029155
compas,mlp,1543,1,5,1199588,0.04329050000524148,0.002209899976151064,0.002653400006238371,0.032566600013524294,0.005860600009327754
compas,mlp,1543,2,5,1198942,0.04825870002969168,0.0023469000007025898,0.0028406000055838376,0.037334100023144856,0.005737100000260398
