dataset,model,batch,audit_peak_ram_bytes_mean,audit_peak_ram_bytes_std,audit_wall_s_mean,audit_wall_s_std,profile_s_mean,profile_s_std,fairness_s_mean,fairness_s_std,uncertainty_s_mean,uncertainty_s_std,xai_s_mean,xai_s_std,n_seeds
adult,logreg,64,625005.0,236.1016730139793,0.03207106669045364,0.0044566206402739455,0.0009294666815549135,0.00027352737972118817,0.0008217333330928037,5.5920154523996355e-05,0.004672666662372649,0.0002232477670751696,0.025647200013433274,0.003938908528331184,3
adult,logreg,256,656713.3333333334,485.48360768757465,0.06480213331330258,0.011530869819886607,0.001539200001085798,0.00034340820678492037,0.001766099992285793,0.0007819825321705079,0.0071715999899121625,0.001600584894029282,0.05432523333001882,0.013198497365455262,3
adult,logreg,1024,2536449.0,175.19417798545703,0.11338779998671573,0.01518696448750463,0.001778733334504068,0.0004521584898475275,0.0015871999979329605,0.00016001111604834468,0.010095999983604997,0.0016569670212238615,0.09992586667067371,0.013481744418348665,3
adult,logreg,4096,10061659.666666666,7682.787081088311,1.099034833353168,0.022238577473352575,0.0021631666847194233,0.0002951793500077264,0.002977266674861312,0.00016063954477276164,0.01857773331964078,0.0006715981231860405,1.0753166666739464,0.022518073296819496,3
adult,mlp,64,897891.0,1778.0899864742505,0.06266239998512901,0.0038997671671393255,0.0010637333228563268,0.0001235409526094902,0.001009799986301611,0.00016111147435449524,0.033842300006654114,0.005764018934631372,0.026746566669316962,0.0021935430396303507,3
adult,mlp,256,968866.0,3569.8043363747543,0.08441159999347292,0.02659712686063578,0.0009597000025678426,2.3151459512102227e-05,0.0009706333318414787,0.00010002527015079856,0.0316098333375218,0.0057417933736697725,0.050871433321541794,0.020934226024920125,3
adult,mlp,1024,2539508.6666666665,306.79200337256265,0.1902480666564467,0.008300449929587913,0.002877500005221615,0.0005766630814424466,0.0021946666626414904,0.0004950209067824644,0.03824956665630452,0.0013762640324221451,0.14692633333227909,0.006670350693097298,3
adult,mlp,4096,10059433.666666666,756.389009262411,1.2781092999794055,0.06128116802935701,0.004727866665537779,0.0006249336126607617,0.006183466660634925,0.0028937937188756487,0.05534893332514912,0.002575613017425058,1.2118490333280836,0.06001131657544842,3
compas,logreg,64,623629.0,0.0,0.010251233325107023,0.000753352112715792,0.0008765666570980102,9.834716161912394e-05,0.0010739666662023712,0.00010286891207264631,0.005802500003483146,0.0001328957507955624,0.002498199998323495,0.0008676197856721557,3
compas,logreg,256,623629.0,0.0,0.0118770333356224,0.0006687866994099388,0.0009324333320061365,0.00015545713781343163,0.0013649000126558046,6.68249233042966e-05,0.007505199988372624,0.0006886183987808198,0.002074500002587835,0.0002819883316058111,3
compas,logreg,1024,623629.0,0.0,0.015657933331870783,0.0023161740595383814,0.0008196000126190484,0.00014225578770944052,0.001918999992388611,0.00032360737116996977,0.010563766661410531,0.0018609304081558134,0.0023555666654525944,5.591649032389433e-05,3
compas,logreg,1543,701118.6666666666,73.28255817949483,0.019357566663529724,0.00018218579520550227,0.0009044999994027118,7.325618471869976e-05,0.0024570000047485032,0.00036957874151802316,0.012879700002182895,0.0006270575066506843,0.003116366657195613,0.0005771883713270671,3
compas,mlp,64,623944.3333333334,35.795716689748396,0.03462273331630664,0.009494251786992158,0.0008754333248361945,6.480403551792913e-05,0.0010779999914423872,0.00010007658427394263,0.02998709999762165,0.008436844549151046,0.002682200002406413,0.0009432831084684651,3
compas,mlp,256,623925.3333333334,34.443189941321975,0.03600426667253487,0.00867953007200809,0.0022347333433572203,0.002259995509489319,0.0014678000006824732,0.00036138949627582235,0.02949786667401592,0.005089784713320244,0.0028038666544792554,0.0010183800980582045,3
compas,mlp,1024,905507.6666666666,17303.91268856073,0.046005666663404554,0.0019270791632536586,0.002055233344435692,0.0003361252014949895,0.0028075999968374767,0.00040077834396919776,0.03588019999248596,0.0011973697448563264,0.00526263332964542,0.0003407544605527852,3
compas,mlp,1543,1209277.3333333333,17344.877783753123,0.04692360002081841,0.0031829790910158757,0.002183533322143679,0.0001780205179096336,0.0027948000060860068,0.00012496191415346385,0.036204400016382955,0.0032249322904905247,0.005740866676205769,0.00011789513239505691,3
