dataset,model,sensitive,compression,metric,n_pairs,mean_diff,std_diff,ci_lo,ci_hi,t_stat,p_value,cohens_dz,ci_excludes_zero
adult,logreg,race,int8,demographic_parity_difference,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
adult,logreg,race,int8,equalized_odds_difference,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
adult,logreg,race,int8,disparate_impact_ratio,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
adult,logreg,race,int8,accuracy,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
adult,logreg,race,int8,balanced_accuracy,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
adult,logreg,race,int8,positive_prediction_rate,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
adult,logreg,race,prune:0.3,demographic_parity_difference,10,-0.003045,0.006427,-0.007642,0.001553,-1.498062,0.168344,-0.473729,False
adult,logreg,race,prune:0.3,equalized_odds_difference,10,-0.002288,0.006929,-0.007245,0.002669,-1.044083,0.323679,-0.330168,False
adult,logreg,race,prune:0.3,disparate_impact_ratio,10,0.007205,0.016523,-0.004615,0.019026,1.379014,0.201192,0.436083,False
adult,logreg,race,prune:0.3,accuracy,10,0.000262,0.000382,-1.1e-05,0.000535,2.170557,0.058061,0.68639,False
adult,logreg,race,prune:0.3,balanced_accuracy,10,-0.000438,0.000663,-0.000912,3.7e-05,-2.087882,0.066411,-0.660246,False
adult,logreg,race,prune:0.3,positive_prediction_rate,10,-0.001114,0.00103,-0.001851,-0.000377,-3.419184,0.007638,-1.081241,True
adult,logreg,race,prune:0.3,mean_ece_per_group,10,-0.000706,0.003829,-0.003446,0.002033,-0.583361,0.573976,-0.184475,False
adult,logreg,race,prune:0.3,ece_disparity,10,-0.00205,0.006866,-0.006961,0.002862,-0.944029,0.369806,-0.298528,False
adult,logreg,race,prune:0.5,demographic_parity_difference,10,-0.007525,0.014502,-0.017899,0.002849,-1.640872,0.135243,-0.518889,False
adult,logreg,race,prune:0.5,equalized_odds_difference,10,-0.007603,0.053245,-0.045692,0.030486,-0.451539,0.662286,-0.142789,False
adult,logreg,race,prune:0.5,disparate_impact_ratio,10,0.003897,0.036985,-0.022561,0.030355,0.333214,0.746604,0.105372,False
adult,logreg,race,prune:0.5,accuracy,10,0.000377,0.000816,-0.000207,0.000961,1.45899,0.178568,0.461373,False
adult,logreg,race,prune:0.5,balanced_accuracy,10,-0.001805,0.00139,-0.0028,-0.00081,-4.105083,0.002656,-1.298141,True
adult,logreg,race,prune:0.5,positive_prediction_rate,10,-0.003243,0.001582,-0.004375,-0.002111,-6.480885,0.000114,-2.049436,True
adult,logreg,race,prune:0.5,mean_ece_per_group,10,4e-05,0.003944,-0.002782,0.002862,0.031989,0.975179,0.010116,False
adult,logreg,race,prune:0.5,ece_disparity,10,-0.001898,0.009531,-0.008716,0.00492,-0.629809,0.544475,-0.199163,False
adult,logreg,race,prune:0.7,demographic_parity_difference,10,-0.006682,0.014279,-0.016896,0.003532,-1.479856,0.173043,-0.467971,False
adult,logreg,race,prune:0.7,equalized_odds_difference,10,-0.05291,0.073291,-0.105339,-0.000481,-2.282892,0.048333,-0.721914,True
adult,logreg,race,prune:0.7,disparate_impact_ratio,10,0.022409,0.04078,-0.006764,0.051582,1.737686,0.116273,0.549505,False
adult,logreg,race,prune:0.7,accuracy,10,-0.004078,0.001428,-0.0051,-0.003057,-9.029106,8e-06,-2.855254,True
adult,logreg,race,prune:0.7,balanced_accuracy,10,-0.018257,0.004284,-0.021322,-0.015192,-13.475497,0.0,-4.261326,True
adult,logreg,race,prune:0.7,positive_prediction_rate,10,-0.017673,0.004515,-0.020902,-0.014443,-12.378608,1e-06,-3.91446,True
adult,logreg,race,prune:0.7,mean_ece_per_group,10,-0.000942,0.005165,-0.004636,0.002753,-0.576449,0.578441,-0.182289,False
adult,logreg,race,prune:0.7,ece_disparity,10,-0.004439,0.00826,-0.010347,0.00147,-1.699366,0.12347,-0.537387,False
adult,logreg,race,prune:0.9,demographic_parity_difference,10,-0.069216,0.024215,-0.086539,-0.051894,-9.039051,8e-06,-2.858399,True
adult,logreg,race,prune:0.9,equalized_odds_difference,10,-0.055636,0.099715,-0.126968,0.015696,-1.764394,0.111488,-0.55795,False
adult,logreg,race,prune:0.9,disparate_impact_ratio,10,0.001013,0.070144,-0.049164,0.051191,0.045683,0.964561,0.014446,False
adult,logreg,race,prune:0.9,accuracy,10,-0.027213,0.004477,-0.030416,-0.02401,-19.2219,0.0,-6.078499,True
adult,logreg,race,prune:0.9,balanced_accuracy,10,-0.090172,0.011347,-0.098289,-0.082055,-25.130524,0.0,-7.94697,True
adult,logreg,race,prune:0.9,positive_prediction_rate,10,-0.073729,0.008276,-0.079649,-0.067808,-28.171951,0.0,-8.908753,True
adult,logreg,race,prune:0.9,mean_ece_per_group,10,0.008111,0.00854,0.002002,0.014219,3.003433,0.014873,0.949769,True
adult,logreg,race,prune:0.9,ece_disparity,10,-0.013308,0.011844,-0.02178,-0.004835,-3.553101,0.006186,-1.123589,True
adult,logreg,sex,int8,demographic_parity_difference,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
adult,logreg,sex,int8,equalized_odds_difference,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
adult,logreg,sex,int8,disparate_impact_ratio,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
adult,logreg,sex,int8,accuracy,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
adult,logreg,sex,int8,balanced_accuracy,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
adult,logreg,sex,int8,positive_prediction_rate,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
adult,logreg,sex,prune:0.3,demographic_parity_difference,10,-0.001109,0.001933,-0.002492,0.000274,-1.813576,0.103149,-0.573503,False
adult,logreg,sex,prune:0.3,equalized_odds_difference,10,-0.001945,0.004159,-0.00492,0.00103,-1.479045,0.173254,-0.467715,False
adult,logreg,sex,prune:0.3,disparate_impact_ratio,10,0.000357,0.00316,-0.001904,0.002617,0.35681,0.729457,0.112833,False
adult,logreg,sex,prune:0.3,accuracy,10,0.000262,0.000382,-1.1e-05,0.000535,2.170557,0.058061,0.68639,False
adult,logreg,sex,prune:0.3,balanced_accuracy,10,-0.000438,0.000663,-0.000912,3.7e-05,-2.087882,0.066411,-0.660246,False
adult,logreg,sex,prune:0.3,positive_prediction_rate,10,-0.001114,0.00103,-0.001851,-0.000377,-3.419184,0.007638,-1.081241,True
adult,logreg,sex,prune:0.3,mean_ece_per_group,10,-0.000144,0.000649,-0.000608,0.000321,-0.699817,0.501728,-0.221302,False
adult,logreg,sex,prune:0.3,ece_disparity,10,8.4e-05,0.000949,-0.000595,0.000763,0.281147,0.784954,0.088907,False
adult,logreg,sex,prune:0.5,demographic_parity_difference,10,-0.004587,0.002525,-0.006393,-0.00278,-5.744109,0.000278,-1.816447,True
adult,logreg,sex,prune:0.5,equalized_odds_difference,10,-0.006835,0.00445,-0.010019,-0.003651,-4.856858,0.0009,-1.535873,True
adult,logreg,sex,prune:0.5,disparate_impact_ratio,10,0.005244,0.004547,0.001992,0.008497,3.647502,0.005338,1.153441,True
adult,logreg,sex,prune:0.5,accuracy,10,0.000377,0.000816,-0.000207,0.000961,1.45899,0.178568,0.461373,False
adult,logreg,sex,prune:0.5,balanced_accuracy,10,-0.001805,0.00139,-0.0028,-0.00081,-4.105083,0.002656,-1.298141,True
adult,logreg,sex,prune:0.5,positive_prediction_rate,10,-0.003243,0.001582,-0.004375,-0.002111,-6.480885,0.000114,-2.049436,True
adult,logreg,sex,prune:0.5,mean_ece_per_group,10,0.000423,0.00119,-0.000428,0.001274,1.123718,0.290211,0.355351,False
adult,logreg,sex,prune:0.5,ece_disparity,10,0.000196,0.001895,-0.00116,0.001551,0.326601,0.751437,0.10328,False
adult,logreg,sex,prune:0.7,demographic_parity_difference,10,-0.019924,0.00904,-0.026391,-0.013457,-6.969477,6.5e-05,-2.203942,True
adult,logreg,sex,prune:0.7,equalized_odds_difference,10,-0.014729,0.026518,-0.033699,0.004241,-1.756427,0.112896,-0.555431,False
adult,logreg,sex,prune:0.7,disparate_impact_ratio,10,0.014913,0.024816,-0.00284,0.032666,1.900318,0.089842,0.600933,False
adult,logreg,sex,prune:0.7,accuracy,10,-0.004078,0.001428,-0.0051,-0.003057,-9.029106,8e-06,-2.855254,True
adult,logreg,sex,prune:0.7,balanced_accuracy,10,-0.018257,0.004284,-0.021322,-0.015192,-13.475497,0.0,-4.261326,True
adult,logreg,sex,prune:0.7,positive_prediction_rate,10,-0.017673,0.004515,-0.020902,-0.014443,-12.378608,1e-06,-3.91446,True
adult,logreg,sex,prune:0.7,mean_ece_per_group,10,0.001604,0.002075,0.000119,0.003088,2.443279,0.037164,0.772633,True
adult,logreg,sex,prune:0.7,ece_disparity,10,0.000347,0.003771,-0.002351,0.003044,0.290818,0.777781,0.091965,False
adult,logreg,sex,prune:0.9,demographic_parity_difference,10,-0.047849,0.012359,-0.05669,-0.039008,-12.242964,1e-06,-3.871565,True
adult,logreg,sex,prune:0.9,equalized_odds_difference,10,0.033688,0.028515,0.01329,0.054086,3.736007,0.004654,1.181429,True
adult,logreg,sex,prune:0.9,disparate_impact_ratio,10,-0.083661,0.020137,-0.098066,-0.069255,-13.137709,0.0,-4.154509,True
adult,logreg,sex,prune:0.9,accuracy,10,-0.027213,0.004477,-0.030416,-0.02401,-19.2219,0.0,-6.078499,True
adult,logreg,sex,prune:0.9,balanced_accuracy,10,-0.090172,0.011347,-0.098289,-0.082055,-25.130524,0.0,-7.94697,True
adult,logreg,sex,prune:0.9,positive_prediction_rate,10,-0.073729,0.008276,-0.079649,-0.067808,-28.171951,0.0,-8.908753,True
adult,logreg,sex,prune:0.9,mean_ece_per_group,10,0.014504,0.003278,0.012159,0.016849,13.991634,0.0,4.424543,True
adult,logreg,sex,prune:0.9,ece_disparity,10,0.009595,0.008027,0.003854,0.015337,3.780374,0.004347,1.195459,True
adult,mlp,race,int8,demographic_parity_difference,10,0.002428,0.024772,-0.015292,0.020149,0.309989,0.763627,0.098027,False
adult,mlp,race,int8,equalized_odds_difference,10,0.016809,0.052877,-0.021016,0.054635,1.005281,0.341023,0.317898,False
adult,mlp,race,int8,disparate_impact_ratio,10,0.010893,0.059139,-0.031412,0.053199,0.582481,0.574543,0.184197,False
adult,mlp,race,int8,accuracy,10,-0.00787,0.003807,-0.010593,-0.005146,-6.536369,0.000107,-2.066981,True
adult,mlp,race,int8,balanced_accuracy,10,-0.002745,0.008182,-0.008598,0.003108,-1.060821,0.316408,-0.335461,False
adult,mlp,race,int8,positive_prediction_rate,10,0.01126,0.016797,-0.000756,0.023276,2.119899,0.063048,0.670371,False
adult,mlp,race,prune:0.3,demographic_parity_difference,10,0.030046,0.074193,-0.023028,0.083121,1.280649,0.232334,0.404977,False
adult,mlp,race,prune:0.3,equalized_odds_difference,10,-0.032884,0.110199,-0.111716,0.045948,-0.943631,0.369999,-0.298402,False
adult,mlp,race,prune:0.3,disparate_impact_ratio,10,0.161123,0.254932,-0.021244,0.343491,1.998637,0.076721,0.632024,False
adult,mlp,race,prune:0.3,accuracy,10,-0.177676,0.103493,-0.25171,-0.103641,-5.428966,0.000417,-1.71679,True
adult,mlp,race,prune:0.3,balanced_accuracy,10,-0.075627,0.072597,-0.127559,-0.023694,-3.294269,0.009315,-1.041739,True
adult,mlp,race,prune:0.3,positive_prediction_rate,10,0.235149,0.233331,0.068234,0.402063,3.186915,0.011061,1.007791,True
adult,mlp,race,prune:0.3,mean_ece_per_group,10,0.166536,0.120434,0.080383,0.25269,4.372799,0.00179,1.3828,True
adult,mlp,race,prune:0.3,ece_disparity,10,0.048665,0.033652,0.024591,0.072738,4.572953,0.001341,1.446095,True
adult,mlp,race,prune:0.5,demographic_parity_difference,10,-0.013957,0.057997,-0.055445,0.027531,-0.761009,0.466122,-0.240652,False
adult,mlp,race,prune:0.5,equalized_odds_difference,10,-0.005824,0.160169,-0.120402,0.108753,-0.114993,0.910975,-0.036364,False
adult,mlp,race,prune:0.5,disparate_impact_ratio,10,0.213511,0.242966,0.039704,0.387318,2.778912,0.021439,0.878769,True
adult,mlp,race,prune:0.5,accuracy,10,-0.190246,0.096783,-0.259481,-0.121012,-6.216099,0.000156,-1.965703,True
adult,mlp,race,prune:0.5,balanced_accuracy,10,-0.120483,0.058232,-0.16214,-0.078826,-6.542814,0.000106,-2.069019,True
adult,mlp,race,prune:0.5,positive_prediction_rate,10,0.196618,0.224883,0.035746,0.357489,2.764816,0.021939,0.874312,True
adult,mlp,race,prune:0.5,mean_ece_per_group,10,0.163293,0.10701,0.086742,0.239844,4.825486,0.00094,1.525953,True
adult,mlp,race,prune:0.5,ece_disparity,10,0.049273,0.04504,0.017054,0.081493,3.459528,0.007166,1.093999,True
adult,mlp,race,prune:0.7,demographic_parity_difference,10,-0.018836,0.093179,-0.085492,0.04782,-0.639243,0.538592,-0.202146,False
adult,mlp,race,prune:0.7,equalized_odds_difference,10,-0.004193,0.13717,-0.102318,0.093932,-0.096671,0.925106,-0.03057,False
adult,mlp,race,prune:0.7,disparate_impact_ratio,10,0.31502,0.219942,0.157683,0.472357,4.52928,0.001428,1.432284,True
adult,mlp,race,prune:0.7,accuracy,10,-0.294259,0.153289,-0.403916,-0.184603,-6.070423,0.000186,-1.919636,True
adult,mlp,race,prune:0.7,balanced_accuracy,10,-0.179219,0.071874,-0.230635,-0.127804,-7.885263,2.5e-05,-2.493539,True
adult,mlp,race,prune:0.7,positive_prediction_rate,10,0.314078,0.277805,0.115348,0.512807,3.575166,0.005976,1.130567,True
adult,mlp,race,prune:0.7,mean_ece_per_group,10,0.227047,0.14481,0.123456,0.330638,4.958128,0.000783,1.567898,True
adult,mlp,race,prune:0.7,ece_disparity,10,0.069236,0.05901,0.027022,0.111449,3.710252,0.004843,1.173285,True
adult,mlp,race,prune:0.9,demographic_parity_difference,10,-0.130962,0.049935,-0.166683,-0.095241,-8.293594,1.7e-05,-2.622665,True
adult,mlp,race,prune:0.9,equalized_odds_difference,10,-0.159658,0.162844,-0.276149,-0.043166,-3.100406,0.012714,-0.980434,True
adult,mlp,race,prune:0.9,disparate_impact_ratio,10,0.512411,0.200442,0.369023,0.655798,8.084057,2e-05,2.556403,True
adult,mlp,race,prune:0.9,accuracy,10,-0.339325,0.25623,-0.522621,-0.156029,-4.187797,0.002349,-1.324298,True
adult,mlp,race,prune:0.9,balanced_accuracy,10,-0.254067,0.012739,-0.26318,-0.244954,-63.066244,0.0,-19.943297,True
adult,mlp,race,prune:0.9,positive_prediction_rate,10,0.295987,0.493815,-0.057267,0.649241,1.895433,0.090547,0.599388,False
