dataset,model,sensitive,compression,demographic_parity_difference_mean,demographic_parity_difference_std,equalized_odds_difference_mean,equalized_odds_difference_std,disparate_impact_ratio_mean,disparate_impact_ratio_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,positive_prediction_rate_mean,positive_prediction_rate_std,mean_predicted_prob_mean,mean_predicted_prob_std,std_predicted_prob_mean,std_predicted_prob_std,mean_group_predictive_entropy_mean,mean_group_predictive_entropy_std,mean_group_predictive_variance_mean,mean_group_predictive_variance_std,mean_group_mutual_information_mean,mean_group_mutual_information_std,mean_ece_per_group_mean,mean_ece_per_group_std,entropy_disparity_mean,entropy_disparity_std,variance_disparity_mean,variance_disparity_std,mi_disparity_mean,mi_disparity_std,ece_disparity_mean,ece_disparity_std,selective_fairness_auc_mean,selective_fairness_auc_std,n_params_mean,n_params_std,flops_mean,flops_std,peak_ram_bytes_mean,peak_ram_bytes_std,n_seeds,skip_reason
adult,logreg,race,int8,0.170454,0.020732708007718953,0.2666983,0.11363886393801297,0.2898317,0.06629063576747138,0.8520350999999999,0.002808554766739968,0.7651658,0.005779933194538928,0.19513560000000002,0.004440680533431796,0.2388396,0.002388308243645833,0.2849944,0.00213263437508115,,,,,,,,,,,,,,,,,,,102.0,0.0,1245522.0,0.0,13279240.0,0.0,10,
adult,logreg,race,none,0.170454,0.020732708007718953,0.2666983,0.11363886393801297,0.2898317,0.06629063576747138,0.8520350999999999,0.002808554766739968,0.7651658,0.005779933194538928,0.19513560000000002,0.004440680533431796,0.2388396,0.002388308243645833,0.2849944,0.00213263437508115,0.28003239999999996,0.00921999977343936,0.0011216,0.0003007465525802231,0.0033519,0.0008833805584860418,0.0341355,0.005142096443410347,0.1170096,0.012359089279644445,0.0007944,0.00010933353658517692,0.0018264,0.0002650724010110781,0.056017899999999995,0.012276190799447704,0.09308419999999999,0.013469674662407812,102.0,0.0,1245522.0,0.0,295337.8,36.44722211637317,10,
adult,logreg,race,prune:0.3,0.16740939999999999,0.022390453691001632,0.2644105,0.11230623465155934,0.2970372,0.07078728306977178,0.8522970000000001,0.002732210867085896,0.7647280999999999,0.00541382453539086,0.19402170000000002,0.004030729160668905,0.2386301,0.002270209116652765,0.2847358,0.002003712986765651,0.2807288,0.009078111915787078,0.0011216,0.0003020990271785433,0.00335,0.0008854072509303275,0.0334291,0.004843585527960321,0.1162266,0.012648383569979741,0.00078,0.00011001818031580054,0.0017753,0.00027155848561794416,0.0539682,0.014222444701558479,0.0941569,0.012662219977818526,102.0,0.0,1245522.0,0.0,295337.8,36.44722211637277,10,
adult,logreg,race,prune:0.5,0.1629289,0.017416095955242735,0.25909550000000003,0.10498049357142497,0.29372889999999996,0.07463229714994558,0.8524117,0.0027581491801568795,0.7633608,0.0057208508458095565,0.1918925,0.004095030192535553,0.2372994,0.002365811826836613,0.2837313,0.0019018869606554011,0.28151950000000003,0.00951643785189022,0.0011074000000000001,0.00029553424317477813,0.0033196000000000002,0.0008739109031627118,0.0341754,0.00392142959192747,0.11308480000000001,0.011460750477656826,0.0007608000000000001,0.00011896012403789396,0.001696,0.00025661990916095695,0.05411970000000001,0.012147038450676865,0.0907949,0.01228562670087828,102.0,0.0,1245522.0,0.0,295327.0,38.18376618407471,10,
adult,logreg,race,prune:0.7,0.163772,0.013856926803748539,0.21378840000000002,0.07104308854678734,0.3122407,0.04367464984035679,0.8479568000000001,0.0027843249251639055,0.7469089999999999,0.006704884769910499,0.17746299999999998,0.0057260607362789664,0.2306828,0.0033477263196251745,0.27417820000000004,0.0027434152600160316,0.29342229999999997,0.01011893219059094,0.0011278,0.0003166255411891677,0.0033800999999999996,0.0009315068378111289,0.033194,0.0052838360223526155,0.1101191,0.009385518637773831,0.0007428,0.00013724738410783807,0.0016400000000000002,0.00029725746416196184,0.051579299999999995,0.01200857489046889,0.09352629999999999,0.01537078286916809,102.0,0.0,1245522.0,0.0,295337.8,36.44722211637397,10,
adult,logreg,race,prune:0.9,0.1012378,0.01978024115570328,0.2110624,0.14685724484319232,0.290845,0.0834893758630402,0.8248219999999999,0.004717109566955888,0.674994,0.013453565673580106,0.121407,0.011047882431589422,0.2108664,0.005611252884457559,0.2421979,0.006324566642159058,0.3098992,0.012287177270996328,0.0011466,0.00038218500464798165,0.0033924000000000003,0.0010738355139923018,0.042246099999999995,0.007732530740679636,0.1035884,0.005454788400010476,0.0007210000000000001,0.00014481252247877825,0.0015471,0.00032942557749985224,0.0427103,0.014916663590688693,0.0649208,0.010233233982145299,102.0,0.0,1245522.0,0.0,295332.4,45.536798306422064,10,
adult,logreg,sex,int8,0.17379450000000002,0.008381236971155668,0.0933714,0.019967252357575672,0.3124587,0.020225060956095484,0.8520350999999999,0.002808554766739968,0.7651658,0.005779933194538928,0.19513560000000002,0.004440680533431796,0.2388396,0.002388308243645833,0.2849944,0.00213263437508115,,,,,,,,,,,,,,,,,,,102.0,0.0,1245522.0,0.0,13283435.3,21.187260323179046,10,
adult,logreg,sex,none,0.17379450000000002,0.008381236971155668,0.0933714,0.019967252357575672,0.3124587,0.020225060956095484,0.8520350999999999,0.002808554766739968,0.7651658,0.005779933194538928,0.19513560000000002,0.004440680533431796,0.2388396,0.002388308243645833,0.2849944,0.00213263437508115,0.2992612,0.006991536467599778,0.0012013,0.00033299818150988285,0.0035526000000000004,0.0009385917583746881,0.0118898,0.0021894914072044724,0.1539836,0.005339464708917723,0.0009294,0.00037430415439853183,0.0018817,0.0008942383537588474,0.005695400000000001,0.004784427057304424,0.1033255,0.008390362768610717,102.0,0.0,1245522.0,0.0,296450.0,0.0,10,
adult,logreg,sex,prune:0.3,0.1726858,0.008127559395866225,0.0914262,0.019706628443805965,0.3128153,0.020409424925482072,0.8522970000000001,0.002732210867085896,0.7647280999999999,0.00541382453539086,0.19402170000000002,0.004030729160668905,0.2386301,0.002270209116652765,0.2847358,0.002003712986765651,0.2993281,0.0069146018034301916,0.0011998,0.0003326014632158634,0.0035488,0.0009368593870539544,0.011746099999999999,0.0017566239368617168,0.1542175,0.005286031219691735,0.00093,0.0003744848313201603,0.0018841,0.000894912093758686,0.0057798,0.004262317569898642,0.10299559999999999,0.00837679998832755,102.0,0.0,1245522.0,0.0,295332.4,45.536798306422064,10,
adult,logreg,sex,prune:0.5,0.1692078,0.007418428222264401,0.0865364,0.0181764593190692,0.3177029,0.01856724976014367,0.8524117,0.0027581491801568795,0.7633608,0.0057208508458095565,0.1918925,0.004095030192535553,0.2372994,0.002365811826836613,0.2837313,0.0019018869606554011,0.2994966,0.006924913961759951,0.001191,0.00032967290186216734,0.003533,0.0009321306536937597,0.0123127,0.002348344951473508,0.152364,0.004914196283331708,0.0009142000000000001,0.0003661010182388948,0.0018571999999999998,0.0008846363722519615,0.0058911,0.0035455359240725358,0.10137529999999999,0.007869038146078873,102.0,0.0,1245522.0,0.0,295332.4,45.536798306422064,10,
