dataset,model,sensitive,compression,seed,demographic_parity_difference,equalized_odds_difference,disparate_impact_ratio,accuracy,balanced_accuracy,positive_prediction_rate,mean_predicted_prob,std_predicted_prob,mean_group_predictive_entropy,mean_ece_per_group,ece_disparity,selective_fairness_auc,n_params,flops,peak_ram_bytes,skip_reason,python,versions
adult,logreg,sex,none,0,0.177187,0.093685,0.301623,0.853902,0.767449,0.194742,0.238785,0.28496,0.288715,0.008712,0.003306,0.095508,102.0,1245522.0,344718.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,int8,0,0.177187,0.093685,0.301623,0.853902,0.767449,0.194742,0.238785,0.28496,,,,,102.0,1245522.0,13282288.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune:0.3,0,0.177803,0.095917,0.298858,0.854066,0.767439,0.194415,0.238727,0.284985,0.288795,0.009693,0.003783,0.094994,102.0,1245522.0,343486.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune:0.5,0,0.170928,0.08358,0.308565,0.85423,0.764732,0.19032,0.236848,0.28324,0.289319,0.010737,0.001619,0.093034,102.0,1245522.0,343378.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune:0.7,0,0.162595,0.088189,0.302811,0.848088,0.748262,0.179101,0.231022,0.273278,0.293877,0.010131,0.005787,0.083013,102.0,1245522.0,343486.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune:0.9,0,0.140342,0.167524,0.192539,0.823274,0.676944,0.127099,0.216908,0.247791,0.300708,0.02648,0.010641,0.070312,102.0,1245522.0,343486.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,race,none,0,0.150246,0.143382,0.359296,0.853902,0.767449,0.194742,0.238785,0.28496,0.269291,0.046219,0.061498,0.080805,102.0,1245522.0,343486.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,race,int8,0,0.150246,0.143382,0.359296,0.853902,0.767449,0.194742,0.238785,0.28496,,,,,102.0,1245522.0,13278470.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,race,prune:0.3,0,0.15209,0.141882,0.358801,0.854066,0.767439,0.194415,0.238727,0.284985,0.269588,0.040762,0.054909,0.085569,102.0,1245522.0,343378.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,race,prune:0.5,0,0.136769,0.134008,0.381204,0.85423,0.764732,0.19032,0.236848,0.28324,0.269608,0.036697,0.052611,0.078946,102.0,1245522.0,343432.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,race,prune:0.7,0,0.157906,0.16243,0.326632,0.848088,0.748262,0.179101,0.231022,0.273278,0.283646,0.034158,0.049888,0.078135,102.0,1245522.0,343486.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
