dataset,sensitive,compression,group,n,selection_rate,mean_entropy,ece,demographic_parity_difference,seed,config_hash,python,versions
adult,sex,none,Female,4064,0.062992,0.254306,0.020327,0.176851,0,77bc29324041,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,sex,none,Male,8147,0.239843,0.396957,0.019976,0.176851,0,77bc29324041,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,sex,prune:0.5,Female,4064,0.01747,0.185182,0.032502,0.077779,0,2663b4d962a9,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,sex,prune:0.5,Male,8147,0.09525,0.344573,0.107663,0.077779,0,2663b4d962a9,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,sex,prune:0.9,Female,4064,0.010827,0.248659,0.017595,0.019614,0,64784006a271,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,sex,prune:0.9,Male,8147,0.030441,0.36216,0.139786,0.019614,0,64784006a271,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,race,none,Amer-Indian-Eskimo,113,0.097345,0.345828,0.05473,0.208692,0,ca6527f034a1,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,race,none,Asian-Pac-Islander,371,0.277628,0.373447,0.05155,0.208692,0,ca6527f034a1,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,race,none,Black,1175,0.068936,0.261109,0.023385,0.208692,0,ca6527f034a1,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,race,none,Other,103,0.126214,0.326147,0.049349,0.208692,0,ca6527f034a1,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,race,none,White,10449,0.191597,0.358837,0.015017,0.208692,0,ca6527f034a1,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,race,prune:0.5,Amer-Indian-Eskimo,113,0.026549,0.255038,0.037759,0.151349,0,faab18c48717,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,race,prune:0.5,Asian-Pac-Islander,371,0.177898,0.35009,0.074775,0.151349,0,faab18c48717,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,race,prune:0.5,Black,1175,0.031489,0.197679,0.032794,0.151349,0,faab18c48717,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,race,prune:0.5,Other,103,0.048544,0.268914,0.05393,0.151349,0,faab18c48717,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
