dataset,sensitive,compression,group,n_mean,n_std,selection_rate_mean,selection_rate_std,mean_entropy_mean,mean_entropy_std,ece_mean,ece_std,demographic_parity_difference_mean,demographic_parity_difference_std,n_seeds
adult,race,none,Amer-Indian-Eskimo,115.6,9.617114374327098,0.0977118,0.025926287332443967,0.2868752,0.02452540971138119,0.055746699999999996,0.018942161914921724,0.170454,0.020732708007718953,10
adult,race,none,Asian-Pac-Islander,380.7,14.376292212450943,0.23978989999999997,0.013661954044799814,0.31845270000000003,0.010173996178165862,0.0365943,0.014130879488631348,0.170454,0.020732708007718953,10
adult,race,none,Black,1176.6,30.63113884051111,0.0907065,0.00821813791087873,0.23460679999999998,0.009486320839327881,0.024106999999999996,0.005899103604221011,0.170454,0.020732708007718953,10
adult,race,none,Other,99.8,9.077444574328181,0.0805048,0.023815161565691717,0.22308029999999998,0.019694215479283364,0.0463721,0.015670537992962745,0.170454,0.020732708007718953,10
adult,race,none,White,10438.3,27.45926275614674,0.2074481,0.004845114984302354,0.3371467,0.006610416730013662,0.007858,0.0020670363110286936,0.170454,0.020732708007718953,10
adult,race,prune:0.5,Amer-Indian-Eskimo,115.6,9.617114374327098,0.0961426,0.02402727338856594,0.2865372,0.024662369138246047,0.0543934,0.015554206856453121,0.1629289,0.017416095955242735,10
adult,race,prune:0.5,Asian-Pac-Islander,380.7,14.376292212450943,0.2308244,0.008959271798285588,0.3194086,0.010674029075804102,0.036016000000000006,0.011547521937146902,0.1629289,0.017416095955242735,10
adult,race,prune:0.5,Black,1176.6,30.63113884051111,0.0897923,0.00843274160045237,0.2359735,0.009458914234731173,0.0226604,0.006001355406165436,0.1629289,0.017416095955242735,10
adult,race,prune:0.5,Other,99.8,9.077444574328181,0.0784247,0.026019500247357216,0.22881490000000002,0.02076068464108702,0.0498043,0.012292763526653485,0.1629289,0.017416095955242735,10
adult,race,prune:0.5,White,10438.3,27.45926275614674,0.20412460000000002,0.0043962594504368775,0.33686340000000004,0.0066577184981043,0.008002800000000001,0.002318800686178573,0.1629289,0.017416095955242735,10
adult,race,prune:0.9,Amer-Indian-Eskimo,115.6,9.617114374327098,0.063882,0.02615857171602116,0.3132088,0.027704057094785073,0.0533431,0.015206255755444861,0.1012378,0.01978024115570328,10
adult,race,prune:0.9,Asian-Pac-Islander,380.7,14.376292212450943,0.1402547,0.019911441641260765,0.3477577,0.010992620353370406,0.037163800000000004,0.017112836162106827,0.1012378,0.01978024115570328,10
adult,race,prune:0.9,Black,1176.6,30.63113884051111,0.048865599999999995,0.006434382525844174,0.2535078,0.012496147742404453,0.0291252,0.007410395473027514,0.1012378,0.01978024115570328,10
adult,race,prune:0.9,Other,99.8,9.077444574328181,0.052692,0.01975676409626727,0.2800984,0.021946340855216233,0.0623834,0.018075750958428012,0.1012378,0.01978024115570328,10
adult,race,prune:0.9,White,10438.3,27.45926275614674,0.1301809,0.012079320487234929,0.35492369999999995,0.010098592663776915,0.0292149,0.0039743257555352835,0.1012378,0.01978024115570328,10
adult,sex,none,Female,4043.1,39.956782208336605,0.0788983,0.0044783177409479236,0.2222693,0.008694076988259185,0.014380100000000002,0.0037456516848800078,0.17379450000000002,0.008381236971155667,10
adult,sex,none,Male,8167.9,39.95678220833664,0.2526928,0.006576239482662826,0.3762529,0.006035538168953033,0.009399099999999999,0.0033527500967282233,0.17379450000000002,0.008381236971155667,10
adult,sex,prune:0.5,Female,4043.1,39.956782208336605,0.0787235,0.0040882131182216975,0.2233149,0.008361599427674643,0.0144881,0.0031281416723387425,0.1692078,0.007418428222264401,10
adult,sex,prune:0.5,Male,8167.9,39.95678220833664,0.2479313,0.0059718136841145535,0.37567880000000003,0.006169826340073646,0.010137799999999999,0.004036939511835943,0.1692078,0.007418428222264401,10
adult,sex,prune:0.9,Female,4043.1,39.956782208336605,0.037164600000000006,0.0035705493881661057,0.2193099,0.0154101304807368,0.018748300000000002,0.00500195992809041,0.1259456,0.013855041290286925,10
adult,sex,prune:0.9,Male,8167.9,39.95678220833664,0.16311009999999998,0.015445090600432082,0.40560150000000006,0.009343104091015771,0.034039200000000006,0.005424582232762263,0.1259456,0.013855041290286925,10
