dataset,sensitive,compression,group,n,selection_rate,mean_entropy,ece,demographic_parity_difference,seed,config_hash,python,versions
compas,sex,none,Female,282,0.205674,0.614138,0.076662,0.163081,0,e73b4ba0b608,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,sex,none,Male,1261,0.368755,0.607448,0.037848,0.163081,0,e73b4ba0b608,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,sex,prune:0.5,Female,282,0.20922,0.617469,0.088899,0.151605,0,19acfe877d5b,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,sex,prune:0.5,Male,1261,0.360825,0.611734,0.042104,0.151605,0,19acfe877d5b,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,sex,prune:0.9,Female,282,0.0,0.688861,0.113313,0.0,0,556f0228b11c,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,sex,prune:0.9,Male,1261,0.0,0.688861,0.026833,0.0,0,556f0228b11c,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,race,none,African-American,804,0.452736,0.611761,0.059099,0.452736,0,ac336c6d29f3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,race,none,Asian,5,0.0,0.645168,0.142911,0.452736,0,ac336c6d29f3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,race,none,Caucasian,516,0.232558,0.601848,0.025531,0.452736,0,ac336c6d29f3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,race,none,Hispanic,127,0.181102,0.605384,0.061097,0.452736,0,ac336c6d29f3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,race,none,Native American,3,0.333333,0.647265,0.392951,0.452736,0,ac336c6d29f3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,race,none,Other,88,0.170455,0.621796,0.084583,0.452736,0,ac336c6d29f3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,race,prune:0.5,African-American,804,0.449005,0.615885,0.061664,0.449005,0,9d475cd14ac0,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,race,prune:0.5,Asian,5,0.0,0.648292,0.139101,0.449005,0,9d475cd14ac0,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,race,prune:0.5,Caucasian,516,0.215116,0.606469,0.032017,0.449005,0,9d475cd14ac0,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,race,prune:0.5,Hispanic,127,0.204724,0.609423,0.06359,0.449005,0,9d475cd14ac0,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
