dataset,sensitive,compression,group,n_mean,n_std,selection_rate_mean,selection_rate_std,mean_entropy_mean,mean_entropy_std,ece_mean,ece_std,demographic_parity_difference_mean,demographic_parity_difference_std,n_seeds
compas,race,none,African-American,791.4,14.299961149908379,0.4407781,0.014630914306130473,0.6152453999999999,0.009346093173085742,0.0574878,0.009701874135100565,0.6251032999999999,0.26423971242375527,10
compas,race,none,Asian,8.2,2.7406406388125952,0.1392857,0.11416265125595536,0.6006814,0.03925560906899519,0.2576931,0.08209609579626115,0.6251032999999999,0.26423971242375527,10
compas,race,none,Caucasian,526.1,14.433371824429049,0.22742610000000002,0.012991484402826676,0.6088608,0.00877242571039756,0.0347462,0.015971455174779783,0.6251032999999999,0.26423971242375527,10
compas,race,none,Hispanic,129.3,7.8180702364600325,0.24942769999999997,0.04590775921356988,0.614271,0.008862203663749653,0.0676474,0.024228847641694487,0.6251032999999999,0.26423971242375527,10
compas,race,none,Native American,3.0,1.3333333333333333,0.6,0.40215472116227996,0.5802997999999999,0.08420789451483877,0.29508422222222225,0.15240741683623682,0.6251032999999999,0.26423971242375527,10
compas,race,none,Other,85.0,9.043106644167024,0.1642984,0.03316748475104966,0.6168826000000001,0.008446754566761744,0.09380190000000001,0.028901723102995474,0.6251032999999999,0.26423971242375527,10
compas,race,prune:0.5,African-American,791.4,14.299961149908379,0.4429073,0.015125166431040223,0.6210281,0.009631044658348896,0.0594003,0.010609845428238392,0.5213409999999999,0.18279900178733044,10
compas,race,prune:0.5,Asian,8.2,2.7406406388125952,0.1120672,0.10426756751507685,0.6048741,0.038853951755116085,0.2345023,0.09808890054554255,0.5213409999999999,0.18279900178733044,10
compas,race,prune:0.5,Caucasian,526.1,14.433371824429049,0.22073,0.010001836797975325,0.6150382000000001,0.008663498033576151,0.0388697,0.014468637623417683,0.5213409999999999,0.18279900178733044,10
compas,race,prune:0.5,Hispanic,129.3,7.8180702364600325,0.244772,0.0358374251989298,0.6182755,0.009097129415981241,0.0756565,0.033142157165928575,0.5213409999999999,0.18279900178733044,10
compas,race,prune:0.5,Native American,3.0,1.3333333333333333,0.5000001000000001,0.3142697787366948,0.5859066,0.08025287806566327,0.29273455555555555,0.14246900006326912,0.5213409999999999,0.18279900178733044,10
compas,race,prune:0.5,Other,85.0,9.043106644167024,0.172491,0.038228871146178386,0.6220176000000001,0.007500461855408943,0.0942931,0.03253016293790529,0.5213409999999999,0.18279900178733044,10
compas,race,prune:0.9,African-American,791.4,14.299961149908379,0.0,0.0,0.6894682000000001,0.00043794413646792724,0.0652551,0.008992701923102855,0.0,0.0,10
compas,race,prune:0.9,Asian,8.2,2.7406406388125952,0.0,0.0,0.6894682000000001,0.00043794413646792724,0.2767662,0.12579918899120313,0.0,0.0,10
compas,race,prune:0.9,Caucasian,526.1,14.433371824429049,0.0,0.0,0.6894682000000001,0.00043794413646792724,0.06510930000000001,0.015381549532186643,0.0,0.0,10
compas,race,prune:0.9,Hispanic,129.3,7.8180702364600325,0.0,0.0,0.6894682000000001,0.00043794413646792724,0.0889441,0.025724158176270367,0.0,0.0,10
compas,race,prune:0.9,Native American,3.0,1.3333333333333333,0.0,0.0,0.6894682000000001,0.00043794413646792724,0.2544673333333333,0.20512779386884655,0.0,0.0,10
compas,race,prune:0.9,Other,85.0,9.043106644167024,0.0,0.0,0.6894682000000001,0.00043794413646792724,0.0901982,0.04892031084165803,0.0,0.0,10
compas,sex,none,Female,295.3,14.36082634576901,0.2232599,0.017550195633287597,0.6222583,0.008775599581288505,0.0849631,0.016118856758812364,0.1389727,0.01808342315215789,10
compas,sex,none,Male,1247.7,14.360826345769024,0.3622327,0.0076198435395135825,0.6106917000000001,0.007691322008168268,0.0330951,0.00525947136021187,0.1389727,0.01808342315215789,10
compas,sex,prune:0.5,Female,295.3,14.36082634576901,0.22688039999999998,0.016471859762772524,0.6264971,0.008438717588854611,0.0880767,0.02363757726375527,0.1328221,0.022070549278016015,10
compas,sex,prune:0.5,Male,1247.7,14.360826345769024,0.3597028,0.01010873706585875,0.6167728,0.008013119766982175,0.0368089,0.005405926160756875,0.1328221,0.022070549278016015,10
compas,sex,prune:0.9,Female,295.3,14.36082634576901,0.0,0.0,0.6894682000000001,0.00043794413646792724,0.10392159999999999,0.012604105294175652,0.0,0.0,10
compas,sex,prune:0.9,Male,1247.7,14.360826345769024,0.0,0.0,0.6894682000000001,0.00043794413646792724,0.0218544,0.005549964648536063,0.0,0.0,10
