dataset,model,sensitive,mechanism,level,seed,demographic_parity_difference,equalized_odds_difference,disparate_impact_ratio,accuracy,balanced_accuracy,positive_prediction_rate,mean_predicted_prob,std_predicted_prob,mean_group_predictive_entropy,mean_ece_per_group,ece_disparity,selective_fairness_auc,n_params,n_train_effective,label_flip_fraction,skip_reason,python,versions
adult,logreg,sex,prune,0.0,0,0.177187,0.093685,0.301623,0.853902,0.767449,0.194742,0.238785,0.28496,0.288715,0.008712,0.003306,0.095508,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.0,1,0.190734,0.124504,0.2892,0.856523,0.778202,0.204733,0.242087,0.288425,0.295485,0.00928,0.007379,0.106242,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.0,2,0.165255,0.072526,0.332011,0.848252,0.758926,0.193678,0.238568,0.284144,0.296264,0.013711,0.000267,0.099078,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.0,3,0.164557,0.068316,0.340152,0.849644,0.761483,0.194579,0.238038,0.283732,0.299351,0.01055,0.002651,0.100083,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.0,4,0.17375,0.115883,0.309714,0.853575,0.766881,0.194579,0.237738,0.284909,0.306853,0.00964,0.011176,0.119059,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.3,0,0.177803,0.095917,0.298858,0.854066,0.767439,0.194415,0.238727,0.284985,0.288795,0.009693,0.003783,0.094994,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.3,1,0.185206,0.114561,0.296598,0.856768,0.776253,0.20154,0.240754,0.286866,0.296223,0.009856,0.007521,0.104048,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.3,2,0.163211,0.070025,0.333407,0.849152,0.758814,0.191794,0.23852,0.284004,0.296315,0.012851,0.001227,0.098996,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.3,3,0.161979,0.065774,0.343051,0.850463,0.7612,0.192613,0.237603,0.283291,0.299582,0.010854,0.001776,0.099908,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.3,4,0.172907,0.116532,0.309385,0.85382,0.766456,0.193514,0.237512,0.284628,0.306803,0.009063,0.01042,0.119022,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
