dataset,model,sensitive,mechanism,level,seed,demographic_parity_difference,equalized_odds_difference,disparate_impact_ratio,accuracy,balanced_accuracy,positive_prediction_rate,mean_predicted_prob,std_predicted_prob,mean_group_predictive_entropy,mean_ece_per_group,ece_disparity,selective_fairness_auc,n_params,n_train_effective,label_flip_fraction,skip_reason,python,versions
adult,mlp,sex,prune,0.0,0,0.198399,0.109817,0.303294,0.840717,0.766523,0.218737,0.239297,0.325366,0.26857,0.02548,0.023612,0.142332,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.0,0,0.145993,0.158974,0.417598,0.840717,0.766523,0.218737,0.239297,0.325366,0.255735,0.044277,0.069314,0.119062,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.0,1,0.189519,0.119686,0.341379,0.839161,0.76855,0.224552,0.248114,0.332446,0.224975,0.036349,0.025879,0.08331,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.0,1,0.152415,0.275641,0.429577,0.839161,0.76855,0.224552,0.248114,0.332446,0.202117,0.065556,0.075822,0.070653,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.0,2,0.155532,0.067245,0.381026,0.836623,0.747998,0.200721,0.226702,0.314346,0.274262,0.021085,0.027248,0.111547,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.0,2,0.173611,0.334714,0.264706,0.836623,0.747998,0.200721,0.226702,0.314346,0.249457,0.05222,0.09084,0.154578,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.0,3,0.166859,0.076667,0.397116,0.838588,0.765359,0.221194,0.24287,0.327034,0.242593,0.03254,0.024417,0.096801,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.0,3,0.140581,0.121212,0.455594,0.838588,0.765359,0.221194,0.24287,0.327034,0.214948,0.062101,0.109412,0.116314,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.0,4,0.158771,0.078988,0.373477,0.8417,0.755323,0.201212,0.228545,0.318818,0.273523,0.018887,0.018081,0.120988,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.0,4,0.103163,0.093233,0.516036,0.8417,0.755323,0.201212,0.228545,0.318818,0.273119,0.047181,0.061615,0.08415,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
