dataset,model,sensitive,accuracy,DP_prune,EO_prune,DI_prune,ECE_prune,ECEgap_prune,posrate_prune,DP_label_noise,EO_label_noise,DI_label_noise,ECE_label_noise,ECEgap_label_noise,posrate_label_noise,DP_subsample,EO_subsample,DI_subsample,ECE_subsample,ECEgap_subsample,posrate_subsample
adult,logreg,race,0.831332,0.126384,0.200447,0.288104,0.03881,0.044124,0.139725,0.209503,0.317395,0.237503,0.249478,0.11746,0.17455,0.176143,0.213697,0.331306,0.053691,0.084464,0.211056
adult,logreg,race,0.836594,0.139635,0.201866,0.29414,0.037245,0.046896,0.15161,0.197443,0.357468,0.224176,0.230481,0.094762,0.169753,0.163239,0.192709,0.348708,0.05101,0.086025,0.206458
adult,logreg,race,0.841856,0.152886,0.203284,0.300176,0.03568,0.049668,0.163495,0.182823,0.356639,0.216664,0.181414,0.070183,0.167953,0.150334,0.171721,0.366111,0.048329,0.087586,0.20186
adult,logreg,race,0.847117,0.166136,0.204702,0.306212,0.034115,0.05244,0.17538,0.177779,0.324906,0.235138,0.123366,0.056985,0.17416,0.176792,0.263672,0.298044,0.043472,0.073031,0.200608
adult,logreg,race,0.852379,0.177042,0.263177,0.284335,0.034386,0.055158,0.196462,0.177042,0.263177,0.284335,0.034386,0.055158,0.196462,0.177042,0.263177,0.284335,0.034386,0.055158,0.196462
adult,logreg,sex,0.831332,0.135111,0.115165,0.25988,0.020589,0.011908,0.139725,0.146307,0.096033,0.344994,0.256877,0.087755,0.17455,0.183211,0.125807,0.324544,0.02771,0.033376,0.211056
adult,logreg,sex,0.836594,0.139785,0.101481,0.285409,0.018017,0.009488,0.15161,0.157145,0.134577,0.291975,0.2339,0.076054,0.169753,0.180977,0.119059,0.319402,0.023882,0.026472,0.206458
adult,logreg,sex,0.841856,0.144459,0.087797,0.310937,0.015445,0.007068,0.163495,0.154939,0.11868,0.294111,0.181796,0.057529,0.167953,0.178744,0.11231,0.314261,0.020054,0.019568,0.20186
adult,logreg,sex,0.847117,0.149133,0.074113,0.336466,0.012873,0.004648,0.17538,0.158113,0.100625,0.30251,0.121509,0.03832,0.17416,0.170264,0.089818,0.3377,0.013423,0.010688,0.200608
adult,logreg,sex,0.852379,0.174297,0.094983,0.31454,0.010379,0.004956,0.196462,0.174297,0.094983,0.31454,0.010379,0.004956,0.196462,0.174297,0.094983,0.31454,0.010379,0.004956,0.196462
adult,mlp,race,0.795316,0.150871,0.191761,0.464839,0.08911,0.092741,0.275571,0.170519,0.147889,0.45223,0.081666,0.06193,0.247501,0.201779,0.350131,0.355892,0.147482,0.13075,0.233249
adult,mlp,race,0.806326,0.148942,0.19301,0.452805,0.0804,0.089906,0.259999,0.164446,0.178524,0.441779,0.07476,0.057781,0.239636,0.13996,0.303926,0.443197,0.127241,0.12422,0.221133
adult,mlp,race,0.817337,0.147012,0.194258,0.440771,0.071689,0.087071,0.244427,0.157885,0.212025,0.431764,0.067641,0.053521,0.231714,0.144166,0.230798,0.432355,0.085236,0.098058,0.233725
adult,mlp,race,0.828347,0.145082,0.195506,0.428736,0.062978,0.084236,0.228855,0.152936,0.231299,0.410502,0.055433,0.053696,0.222277,0.141945,0.17731,0.42955,0.064683,0.081454,0.226883
adult,mlp,race,0.839358,0.143153,0.196755,0.416702,0.054267,0.081401,0.213283,0.143153,0.196755,0.416702,0.054267,0.081401,0.213283,0.143153,0.196755,0.416702,0.054267,0.081401,0.213283
adult,mlp,sex,0.795316,0.179855,0.108777,0.421271,0.065422,0.033158,0.275571,0.150213,0.082232,0.494303,0.077539,0.051105,0.247501,0.179462,0.121111,0.386153,0.137339,0.094612,0.233249
adult,mlp,sex,0.806326,0.178345,0.104203,0.405768,0.055784,0.03083,0.259999,0.159361,0.086083,0.453603,0.067671,0.047038,0.239636,0.168555,0.095974,0.390627,0.116176,0.079018,0.221133
adult,mlp,sex,0.817337,0.176836,0.099629,0.390265,0.046145,0.028502,0.244427,0.168888,0.090371,0.411515,0.057313,0.042844,0.231714,0.182679,0.099835,0.379069,0.067238,0.04912,0.233725
adult,mlp,sex,0.828347,0.175326,0.095055,0.374762,0.036507,0.026175,0.228855,0.174772,0.09712,0.375164,0.038908,0.032268,0.222277,0.178333,0.093871,0.376288,0.041273,0.033602,0.226883
adult,mlp,sex,0.839358,0.173816,0.090481,0.359258,0.026868,0.023847,0.213283,0.173816,0.090481,0.359258,0.026868,0.023847,0.213283,0.173816,0.090481,0.359258,0.026868,0.023847,0.213283
compas,logreg,race,0.661309,0.427536,0.76854,0.138354,0.139823,0.369951,0.290063,0.524727,0.811026,0.140517,0.185206,0.329574,0.305662,0.465462,0.732673,0.201384,0.15125,0.34994,0.323655
compas,logreg,race,0.666753,0.436183,0.787996,0.137841,0.139428,0.36756,0.300288,0.559578,0.822481,0.122261,0.180975,0.322354,0.309194,0.536673,0.737129,0.14849,0.130328,0.29282,0.386967
compas,logreg,race,0.672197,0.444829,0.807452,0.137328,0.139034,0.365168,0.310513,0.594429,0.833937,0.104005,0.176744,0.315134,0.312727,0.544031,0.799653,0.132356,0.128365,0.314407,0.355652
compas,logreg,race,0.677641,0.453476,0.826908,0.136815,0.138639,0.362776,0.320739,0.627921,0.853978,0.087176,0.167545,0.305244,0.316785,0.556373,0.853629,0.121254,0.126104,0.331943,0.325962
compas,logreg,race,0.683085,0.641567,0.931507,0.088957,0.132925,0.30983,0.331173,0.641567,0.931507,0.088957,0.132925,0.30983,0.331173,0.641567,0.931507,0.088957,0.132925,0.30983,0.331173
compas,logreg,sex,0.661309,0.128644,0.121956,0.584162,0.06354,0.058139,0.290063,0.119443,0.124155,0.605268,0.133557,0.049991,0.305662,0.109436,0.127712,0.654177,0.074487,0.044279,0.323655
compas,logreg,sex,0.666753,0.129202,0.120826,0.596708,0.063924,0.056678,0.300288,0.122014,0.12736,0.610611,0.132462,0.048115,0.309194,0.115334,0.117012,0.676921,0.053082,0.033296,0.386967
compas,logreg,sex,0.672197,0.129759,0.119697,0.609253,0.064308,0.055218,0.310513,0.124585,0.130564,0.615953,0.131367,0.046238,0.312727,0.126399,0.132662,0.637219,0.053915,0.038281,0.355652
compas,logreg,sex,0.677641,0.130317,0.118567,0.621799,0.064692,0.053757,0.320739,0.127775,0.132978,0.620153,0.124814,0.04535,0.316785,0.136538,0.145887,0.601972,0.054792,0.043327,0.325962
compas,logreg,sex,0.683085,0.140839,0.13409,0.6072,0.06086,0.052635,0.331173,0.140839,0.13409,0.6072,0.06086,0.052635,0.331173,0.140839,0.13409,0.6072,0.06086,0.052635,0.331173
