dataset,model,sensitive,mechanism,accuracy_range,dDP_per_acc,dEO_per_acc,dDI_per_acc,dECE_per_acc,dECEgap_per_acc,dposrate_per_acc
adult,logreg,race,prune,0.051969,-2.3495,-1.8961,0.0725,0.347,-0.2613,-2.5284
adult,logreg,race,label_noise,0.025715,1.656,0.5742,-1.0506,8.8916,3.1371,-0.5289
adult,logreg,race,subsample,0.021047,0.175,-2.8452,2.0894,0.8819,1.2994,0.7269
adult,logreg,sex,prune,0.051969,-2.0672,-0.5556,-0.6503,0.7202,0.7246,-2.5284
adult,logreg,sex,label_noise,0.025715,-1.2214,-0.7091,2.6311,9.8895,3.414,-0.5289
adult,logreg,sex,subsample,0.021047,0.4451,1.398,0.4858,0.8299,1.3597,0.7269
adult,mlp,race,prune,0.395348,-0.3705,-0.4003,1.4457,0.7097,0.1685,0.9672
adult,mlp,race,label_noise,0.180509,-0.0849,-0.1986,1.6288,0.21,0.1779,0.7812
adult,mlp,race,subsample,0.044042,0.9195,3.6195,-0.7466,2.2656,1.3624,0.3472
adult,mlp,sex,prune,0.395348,-0.4699,-0.2352,1.5746,0.685,0.3885,0.9672
adult,mlp,sex,label_noise,0.180509,-0.4788,-0.1612,2.3017,0.1665,0.1172,0.7812
adult,mlp,sex,subsample,0.044042,0.0138,0.5246,0.7001,2.6824,1.6674,0.3472
compas,logreg,race,prune,0.13908,-4.2226,-6.5515,6.5375,0.0492,0.0669,-2.406
compas,logreg,race,label_noise,0.030201,-4.6009,-3.7147,2.7309,1.7325,1.2741,-0.8485
compas,logreg,race,subsample,0.021776,-6.7234,-9.4346,4.0457,0.5048,-0.2631,1.8137
compas,logreg,sex,prune,0.13908,-0.9978,-0.9332,2.8091,0.0345,0.2303,-2.406
compas,logreg,sex,label_noise,0.030201,-0.7673,-0.4337,-0.3505,1.8878,-0.0111,-0.8485
compas,logreg,sex,subsample,0.021776,-1.4224,-0.6944,3.2657,0.3286,-0.6392,1.8137
