dataset,model,sensitive,sparsity,seed,binning,n_bins,mean_ece_per_group,ece_disparity,min_group_ece,max_group_ece,n_groups_scored,mean_confidence,std_confidence,n_distinct_confidence,python,versions
adult,mlp,sex,0.0,0,equal_width,10,0.02548,0.023612,0.013674,0.037286,2,0.859757,0.157888,10102,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,0,equal_width,15,0.026007,0.0259,0.013058,0.038957,2,0.859757,0.157888,10102,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,0,equal_mass,10,0.025229,0.024113,0.013173,0.037286,2,0.859757,0.157888,10102,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,0,equal_mass,15,0.025878,0.024345,0.013705,0.03805,2,0.859757,0.157888,10102,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,1,equal_width,10,0.036349,0.025879,0.023409,0.049288,2,0.881209,0.152795,8862,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,1,equal_width,15,0.037571,0.025898,0.024622,0.050521,2,0.881209,0.152795,8862,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,1,equal_mass,10,0.035774,0.029167,0.02119,0.050357,2,0.881209,0.152795,8862,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,1,equal_mass,15,0.036408,0.028684,0.022066,0.050749,2,0.881209,0.152795,8862,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,2,equal_width,10,0.021085,0.027248,0.007461,0.034709,2,0.855691,0.159905,9705,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,2,equal_width,15,0.022895,0.023628,0.01108,0.034709,2,0.855691,0.159905,9705,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,2,equal_mass,10,0.022422,0.024574,0.010135,0.034709,2,0.855691,0.159905,9705,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,2,equal_mass,15,0.022443,0.025673,0.009606,0.035279,2,0.855691,0.159905,9705,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,3,equal_width,10,0.03254,0.024417,0.020331,0.044748,2,0.871242,0.157325,9057,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,3,equal_width,15,0.032765,0.023966,0.020782,0.044748,2,0.871242,0.157325,9057,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,3,equal_mass,10,0.030353,0.028791,0.015957,0.044748,2,0.871242,0.157325,9057,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,3,equal_mass,15,0.032336,0.026652,0.01901,0.045662,2,0.871242,0.157325,9057,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,4,equal_width,10,0.018887,0.018081,0.009847,0.027928,2,0.85342,0.163823,9978,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,4,equal_width,15,0.020738,0.015622,0.012927,0.028549,2,0.85342,0.163823,9978,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,4,equal_mass,10,0.018575,0.017282,0.009934,0.027216,2,0.85342,0.163823,9978,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.0,4,equal_mass,15,0.019862,0.016276,0.011724,0.028,2,0.85342,0.163823,9978,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,0,equal_width,10,0.073892,0.076275,0.035754,0.11203,2,0.860869,0.152927,10594,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
