dataset,sensitive,compression,protocol,demographic_parity_difference_mean,demographic_parity_difference_std,mean_ece_per_group_mean,mean_ece_per_group_std,accuracy_mean,accuracy_std,n_seeds
adult,race,prune:0.0,finetune,0.15467740000000002,0.027486629954701004,0.048972,0.008722070727629865,0.8361723,0.003098503296396169,10
adult,race,prune:0.0,oneshot,0.1518697,0.025316766052251704,0.049824400000000005,0.005922956922949139,0.8377363000000001,0.0024078824745222384,10
adult,race,prune:0.3,finetune,0.1671969,0.037643963377501394,0.0467206,0.009232807737146437,0.8305298999999999,0.006959294671317073,10
adult,race,prune:0.3,oneshot,0.1744514,0.07062479627062061,0.21763349999999998,0.11962215095434643,0.6583573,0.10598608888596864,10
adult,race,prune:0.5,finetune,0.1573578,0.04262592643972028,0.0466144,0.007245167189237252,0.8242566,0.017557329828624606,10
adult,race,prune:0.5,oneshot,0.13611089999999998,0.06297822518837584,0.21464789999999997,0.10578124419915952,0.6493407,0.0998632591898097,10
adult,race,prune:0.7,finetune,0.15928230000000002,0.06358002655804905,0.0679264,0.02266140854306183,0.7733028,0.056244944756148725,10
adult,race,prune:0.7,oneshot,0.1329639,0.081981362175192,0.2746162,0.13936510295766297,0.5456636,0.15259230240830193,10
adult,race,prune:0.9,finetune,0.0358472,0.055875835794494684,0.2621624,0.0984169427873067,0.5864794,0.2367043295089185,10
adult,race,prune:0.9,oneshot,0.0217708,0.037183451703980124,0.3137809,0.10737987004653671,0.49781339999999996,0.2543611260992703,10
adult,sex,prune:0.0,finetune,0.1748903,0.016415323065491115,0.0272408,0.005668584220655688,0.8361723,0.003098503296396169,10
adult,sex,prune:0.0,oneshot,0.1719277,0.013981592661225844,0.027251900000000003,0.006119302691756091,0.8377363000000001,0.0024078824745222384,10
adult,sex,prune:0.3,finetune,0.1877637,0.03415777823912635,0.023901299999999997,0.008287714402120231,0.8305298999999999,0.006959294671317073,10
adult,sex,prune:0.3,oneshot,0.1745804,0.091322943775495,0.195017,0.10754456586095933,0.6583573,0.10598608888596864,10
adult,sex,prune:0.5,finetune,0.1760991,0.04691675807794529,0.0239715,0.011712503207636227,0.8242566,0.017557329828624606,10
adult,sex,prune:0.5,oneshot,0.13094820000000001,0.07278637645695335,0.1949545,0.09995493073853057,0.6493407,0.0998632591898097,10
adult,sex,prune:0.7,finetune,0.1904929,0.10283104688268466,0.049735600000000005,0.01966773220390303,0.7733028,0.056244944756148725,10
adult,sex,prune:0.7,oneshot,0.0865317,0.06226206214247432,0.2457681,0.1323800824632954,0.5456636,0.15259230240830193,10
adult,sex,prune:0.9,finetune,0.0356805,0.07420194480567503,0.23281040000000003,0.09376933452799066,0.5864794,0.2367043295089185,10
adult,sex,prune:0.9,oneshot,0.0154543,0.028261204661160503,0.281802,0.10522561126350265,0.49781339999999996,0.2543611260992703,10
compas,race,prune:0.0,finetune,0.5516959,0.1887685752086989,0.11555610000000001,0.025260080207711137,0.6820478999999999,0.008593464757852007,10
compas,race,prune:0.0,oneshot,0.5547398,0.2091945383718758,0.1130295,0.025296819032571402,0.6826312,0.008499897500035563,10
compas,race,prune:0.3,finetune,0.5837652,0.19010628997005274,0.1164382,0.027462503963687573,0.6830201,0.008665342109679099,10
compas,race,prune:0.3,oneshot,0.5721234,0.240895925953835,0.13203269999999998,0.03802887546486514,0.6784188,0.007071872026242793,10
compas,race,prune:0.5,finetune,0.6332989,0.2273824568379354,0.1322199,0.034768504845781215,0.6816591,0.007805534695187592,10
compas,race,prune:0.5,oneshot,0.5183156999999999,0.28033274043538176,0.14595960000000002,0.05495383823052459,0.6439403,0.06697616059804828,10
compas,race,prune:0.7,finetune,0.6268241999999999,0.23163661634685961,0.12224070000000001,0.03302973585204029,0.6777706,0.01468939125279798,10
compas,race,prune:0.7,oneshot,0.3976256,0.29337384773516084,0.1855042,0.08208393416199732,0.59151,0.0784415165995944,10
compas,race,prune:0.9,finetune,0.20404110000000003,0.22145402893525226,0.16405540000000002,0.07236108361113575,0.5343487,0.0868744841801473,10
compas,race,prune:0.9,oneshot,0.0700348,0.14344881417332572,0.17987440000000002,0.0586986523737035,0.49669489999999994,0.0555310255231754,10
compas,sex,prune:0.0,finetune,0.1236826,0.02035049928516634,0.032936,0.00886731323457111,0.6820478999999999,0.008593464757852007,10
compas,sex,prune:0.0,oneshot,0.1264408,0.024816273468118544,0.034659499999999996,0.008357492210918032,0.6826312,0.008499897500035563,10
compas,sex,prune:0.3,finetune,0.1270801,0.023286726469290517,0.0351273,0.006388050025025026,0.6830201,0.008665342109679099,10
compas,sex,prune:0.3,oneshot,0.1326152,0.024813675216165246,0.0446004,0.013244445688665115,0.6784188,0.007071872026242793,10
compas,sex,prune:0.5,finetune,0.13941889999999998,0.023823837975392996,0.0425837,0.0233592264857189,0.6816591,0.007805534695187592,10
compas,sex,prune:0.5,oneshot,0.11949449999999999,0.04435451559436887,0.07002420000000001,0.06801276432781653,0.6439403,0.06697616059804828,10
compas,sex,prune:0.7,finetune,0.1291188,0.02922242892711008,0.04951560000000001,0.02025716363934278,0.6777706,0.01468939125279798,10
compas,sex,prune:0.7,oneshot,0.06299550000000001,0.040149986678425904,0.11304840000000001,0.06916000391234484,0.59151,0.0784415165995944,10
compas,sex,prune:0.9,finetune,0.0306504,0.04323779726170662,0.11316790000000002,0.047089554263835064,0.5343487,0.0868744841801473,10
compas,sex,prune:0.9,oneshot,0.003755,0.006304746324969961,0.109461,0.047015955606108405,0.49669489999999994,0.0555310255231754,10
