dataset,model,sensitive,compression,group,top_k,top_features,top_importances,seed,config_hash,python,versions
compas,logreg,sex,none,Male,3,priors_count|age|juv_other_count,0.129953|0.090028|0.010555,0,bb615e5103d2,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,none,Female,3,priors_count|age|juv_other_count,0.114603|0.088954|0.007889,0,bb615e5103d2,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.3,Male,3,priors_count|age|juv_other_count,0.130461|0.090093|0.010517,0,1d54c51f1d89,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.3,Female,3,priors_count|age|juv_other_count,0.114464|0.088948|0.007828,0,1d54c51f1d89,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.5,Male,3,priors_count|age|juv_fel_count,0.131773|0.090742|0.000000,0,4ea62c3e7c29,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.5,Female,3,priors_count|age|juv_fel_count,0.115468|0.089806|0.000000,0,4ea62c3e7c29,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.7,Male,3,priors_count|age|juv_fel_count,0.133572|0.000000|0.000000,0,8ddc62471e88,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.7,Female,3,priors_count|age|juv_fel_count,0.119774|0.000000|0.000000,0,8ddc62471e88,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.9,Male,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,0,51684aa1846d,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.9,Female,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,0,51684aa1846d,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Caucasian,3,priors_count|age|juv_other_count,0.105917|0.100605|0.009373,0,c14366fbb4b9,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,African-American,3,priors_count|age|juv_other_count,0.144297|0.083768|0.011493,0,c14366fbb4b9,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Other,3,priors_count|age|juv_other_count,0.111223|0.091362|0.006236,0,c14366fbb4b9,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Hispanic,3,priors_count|age|juv_other_count,0.118432|0.084398|0.006773,0,c14366fbb4b9,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Native American,3,priors_count|age|juv_other_count,0.083207|0.050962|0.006041,0,c14366fbb4b9,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
